股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,成交额(千元),MA5,MA10,MACD,RSI,VOLATILITY,大盘指数,RET,LOG_RET,INDEX_RET
600604.SH,2019-01-21,7.52,7.96,7.33,7.81,7.55,0.26,1035.97442,7.504,7.415000000000001,0.05089292175484772,49.43162157877781,0.047206453711878815,2610.5094,0.03443708609271523,0.03385740059066126,0.005586967917172503
600604.SH,2019-01-22,7.79,8.56,7.74,8.07,7.81,0.26,1521.1429779999999,7.697999999999999,7.502000000000001,0.08162335199278203,52.90985694761978,0.04769888131740976,2579.7041,0.033290653008962945,0.032748518430262906,-0.011800493804006162
600604.SH,2019-01-23,8.12,8.75,8.0,8.65,8.07,0.58,1537.026661,7.994,7.598999999999999,0.13909230444456622,72.06675728083746,0.048379433193960916,2581.0041,0.07187112763320935,0.06940583866193047,0.0005039337651167042
600604.SH,2019-01-24,8.6,8.6,8.21,8.26,8.65,-0.39,1256.624805,8.068000000000001,7.695,0.1570592926216552,64.89876045892767,0.047765252563536705,2591.6935,-0.04508670520231217,-0.04613473341090129,0.004141566454698653
600604.SH,2019-01-25,8.05,8.16,7.61,7.75,8.26,-0.51,976.635155,8.108,7.751,0.13673557708940542,57.62313750584639,0.05286768476715391,2601.7234,-0.06174334140435833,-0.06373174416763104,0.003870017808818904
600604.SH,2019-01-28,7.79,8.15,7.55,7.94,7.75,0.19,910.957174,8.134,7.819,0.13164173918814193,58.185660486892296,0.05310391856713257,2596.9767,0.024516129032258194,0.024220431893788853,-0.0018244445201206494
600604.SH,2019-01-29,7.81,8.05,7.15,7.33,7.94,-0.61,823.681589,7.986,7.8420000000000005,0.08636466827123446,46.23641993335935,0.05927246696308841,2594.2536,-0.07682619647355171,-0.0799377593604843,-0.0010485654337984984
600604.SH,2019-01-30,7.37,7.43,6.96,7.09,7.33,-0.24,608.57637,7.674000000000001,7.8340000000000005,0.034469025367394934,47.67169237168665,0.06038609509809389,2575.5756,-0.032742155525238736,-0.033290175354523985,-0.007199758728290817
600604.SH,2019-01-31,7.13,7.25,6.38,6.38,7.09,-0.71,796.9330679999999,7.298,7.683,-0.053744005175577314,42.074248720257906,0.05670836706087382,2584.5724,-0.10014104372355426,-0.10551724318733757,0.003493122081137834
600604.SH,2019-02-01,6.44,6.53,6.23,6.49,6.38,0.11,446.57757699999996,7.046000000000001,7.577000000000001,-0.1140470614828546,42.52415624501216,0.057133461770115926,2618.2323,0.017241379310344973,0.017094433359300255,0.013023392186653382
600604.SH,2019-02-11,6.55,6.94,6.47,6.88,6.49,0.39,506.852983,6.8340000000000005,7.484,-0.13272569662560496,47.955265543918664,0.060028785788524316,2653.896,0.06009244992295826,0.05835612122925354,0.013621289447846241
600604.SH,2019-02-12,6.82,7.01,6.8,7.0,6.88,0.12,578.082748,6.768000000000001,7.377000000000001,-0.1373495807170224,48.43449759061395,0.05893004537919601,2671.8937,0.01744186046511631,0.017291497110061043,0.006781614652571211
600604.SH,2019-02-13,7.03,7.25,6.89,7.06,7.0,0.06,700.605224,6.7620000000000005,7.218000000000001,-0.1351264205888132,41.29966914143229,0.051827511519890124,2721.0683,0.008571428571428452,0.008534902449837286,0.018404399845697306
600604.SH,2019-02-14,7.13,7.75,7.11,7.46,7.06,0.4,1052.491599,6.978,7.138,-0.10346245552205513,49.06818075475558,0.055932695014901536,2719.6999,0.056657223796034106,0.05511036271051888,-0.0005028907212655254
600604.SH,2019-02-15,7.31,7.78,7.28,7.53,7.46,0.07,901.833124,7.186,7.116,-0.07256188176443867,46.98261686279396,0.05287589797211273,2682.385,0.009383378016085908,0.009339627596132842,-0.013720227000045049
600604.SH,2019-02-18,7.68,8.06,7.51,7.95,7.53,0.42,999.692602,7.4,7.117,-0.01733204185772408,48.74985781291471,0.05545154198980493,2754.3566,0.055776892430278835,0.054276886854438273,0.02683119686398472
600604.SH,2019-02-19,7.9,8.37,7.75,8.33,7.95,0.38,1351.159322,7.6659999999999995,7.2170000000000005,0.053584373972518584,46.521597542963995,0.049573691774864634,2755.6459,0.04779874213836477,0.04669152751251078,0.00046809479934428744
600604.SH,2019-02-20,8.2,8.3,8.0,8.17,8.33,-0.16,878.652105,7.888,7.325,0.09664939810330253,48.97009483264814,0.04832453275164005,2761.2189,-0.019207683073229287,-0.0193945473068398,0.0020223933706431385
600604.SH,2019-02-21,8.17,8.99,8.12,8.73,8.17,0.56,1895.352666,8.142,7.5600000000000005,0.17040173355148358,61.0857793663097,0.02917265314365206,2751.8012,0.06854345165238684,0.06629646097959938,-0.003410703874292653
600604.SH,2019-02-22,8.59,9.6,8.55,9.6,8.73,0.87,1329.802947,8.556000000000001,7.871,0.29050371697722444,66.27432787439406,0.03543670371878676,2804.2262,0.09965635738831602,0.09499772862227959,0.019051158201399243
600604.SH,2019-02-25,10.56,10.56,10.56,10.56,9.6,0.96,32.735081,9.078,8.239,0.45253681206664,79.63282296155569,0.0398626061032065,2961.2834,0.10000000000000009,0.09531017980432493,0.05600732209120629
600604.SH,2019-02-26,11.62,11.62,11.26,11.62,10.56,1.06,1021.9410799999999,9.736,8.700999999999999,0.6533738578073613,86.12420961101522,0.04217682977551288,2941.5163,0.10037878787878785,0.09565447314564972,-0.006675180092523436
600604.SH,2019-02-27,12.0,12.78,11.8,12.78,11.62,1.16,2392.2884470000004,10.658,9.273,0.8901821165691342,97.61884424645544,0.041420207674681284,2953.8242,0.09982788296041312,0.09515369752562361,0.004184202548869198
600604.SH,2019-02-28,13.0,14.06,11.5,11.5,12.78,-1.28,4405.4634510000005,11.212,9.677,0.9685332165089697,81.74890437456764,0.06600561243557561,2940.9538,-0.10015649452269171,-0.10553441358018437,-0.004357199050640914
600604.SH,2019-03-01,10.77,12.27,10.45,11.82,11.5,0.32,2762.253739,11.656,10.106,1.0429784730807583,81.58553168830645,0.06511424718816003,2994.005,0.027826086956521667,0.027445976608747688,0.018038773679477815
600604.SH,2019-03-04,12.34,13.0,11.88,13.0,11.82,1.18,3099.4514759999997,12.144,10.611,1.1790878218282863,83.78365169244103,0.06715384586633269,3027.5755,0.09983079526226724,0.0951563454835845,0.011212573125295222
600604.SH,2019-03-05,13.2,14.3,13.01,14.3,13.0,1.3,1606.694446,12.68,11.208,1.3713954130753763,85.77063233311733,0.06876178197727405,3054.2466,0.10000000000000009,0.09531017980432493,0.008809392201780009
600604.SH,2019-03-06,15.73,15.73,14.46,15.73,14.3,1.43,3626.92664,13.27,11.964,1.6157918433241107,87.08509244921127,0.06413030741635166,3102.0991,0.09999999999999987,0.09531017980432474,0.015667529923746093
600604.SH,2019-03-07,15.5,17.3,15.33,17.3,15.73,1.57,3624.042784,14.430000000000001,12.820999999999998,1.9092765587985419,88.616502716914,0.06483190103472057,3106.4179,0.09980928162746339,0.09513678443354676,0.0013922185787036412
600604.SH,2019-03-08,15.57,17.19,15.57,15.57,17.3,-1.73,3276.8205580000003,15.180000000000001,13.418000000000001,1.9838270272221106,77.29218609666151,0.0836313692147298,2969.8614,-0.09999999999999998,-0.10536051565782628,-0.043959474995299286
600604.SH,2019-03-11,15.02,17.1,14.1,16.75,15.57,1.18,3535.304211,15.930000000000001,14.037,2.110660967953981,78.52296075057923,0.08245364662269683,3026.9925,0.0757867694283878,0.07305227242516836,0.01923695833078276
600604.SH,2019-03-12,16.86,18.43,16.1,18.43,16.75,1.68,3950.580546,16.756,14.718,2.315941825278287,81.51098641561364,0.08244823598124466,3060.3073,0.10029850746268654,0.09558151341065645,0.011005907678991678
600604.SH,2019-03-13,19.58,20.27,18.33,20.26,18.43,1.83,5188.980345,17.662,15.466,2.592248065097996,82.84893675868292,0.08241282417106967,3026.9513,0.09929462832338598,0.09466872713880559,-0.010899559008338722
600604.SH,2019-03-14,18.35,19.43,18.23,18.23,20.26,-2.03,1971.935064,17.848000000000003,16.139,2.6210598347805103,73.0624787346498,0.0824211274742525,2990.685,-0.10019743336623899,-0.10557991012996576,-0.011981130981525978
