股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,成交额(千元),MA5,MA10,MACD,RSI,VOLATILITY,大盘指数,RET,LOG_RET,INDEX_RET
600015.SH,2019-01-21,7.51,7.54,7.47,7.48,7.5,-0.02,141.478367,7.452,7.437,0.007806661533737547,61.97060903024453,0.00801387105892323,2610.5094,-0.002666666666666595,-0.0026702285558788097,0.005586967917172503
600015.SH,2019-01-22,7.49,7.49,7.41,7.42,7.48,-0.06,74.78815300000001,7.446000000000001,7.438,0.005665998583396004,57.14181820070805,0.00826704368085402,2579.7041,-0.008021390374331583,-0.008053734807096827,-0.011800493804006162
600015.SH,2019-01-23,7.41,7.46,7.41,7.43,7.42,0.01,74.920921,7.446000000000001,7.436000000000002,0.0045769580154404466,55.40435721486351,0.008079284638978381,2581.0041,0.0013477088948787852,0.0013468015503787952,0.0005039337651167042
600015.SH,2019-01-24,7.45,7.47,7.41,7.45,7.43,0.02,96.188874,7.456,7.439,0.004927304122749554,46.773137380768816,0.008008381161587128,2591.6935,0.0026917900403768957,0.0026881736618003956,0.004141566454698653
600015.SH,2019-01-25,7.46,7.56,7.45,7.52,7.45,0.07,228.480636,7.460000000000001,7.445,0.009548614322842042,55.38342251089972,0.008375645609486265,2601.7234,0.009395973154362247,0.009352105570280142,0.003870017808818904
600015.SH,2019-01-28,7.56,7.59,7.47,7.5,7.52,-0.02,206.068186,7.464,7.458000000000001,0.011701017022491378,57.14158732980536,0.007214000239531687,2596.9767,-0.0026595744680850686,-0.002663117419483662,-0.0018244445201206494
600015.SH,2019-01-29,7.49,7.55,7.44,7.54,7.5,0.04,205.96391599999998,7.4879999999999995,7.4670000000000005,0.01582615037916746,57.14158732980536,0.006629298813878242,2594.2536,0.005333333333333412,0.005319161477600027,-0.0010485654337984984
600015.SH,2019-01-30,7.51,7.54,7.49,7.51,7.54,-0.03,158.32825200000002,7.504,7.475,0.01683887918649063,57.14158732980536,0.006725951718580469,2575.5756,-0.003978779840848823,-0.003986716243821345,-0.007199758728290817
600015.SH,2019-01-31,7.53,7.62,7.5,7.57,7.51,0.06,285.10363900000004,7.5280000000000005,7.492,0.021446880042153893,58.46027931706089,0.006781878608506309,2584.5724,0.007989347536617952,0.00795760167331414,0.003493122081137834
600015.SH,2019-02-01,7.59,7.61,7.54,7.58,7.57,0.01,205.14067,7.540000000000001,7.5,0.025445726196031693,68.41937215577164,0.005519271496479485,2618.2323,0.0013210039630118242,0.0013201322049228162,0.013023392186653382
