实验名称,特征数量,RMSE,MAE,MAPE,Accuracy,F1-score
Full Features,14,7.48312,6.821855,11.720449,0.521084,0.0
No Technical Indicators,9,3.406674,2.676368,4.587529,0.536145,0.287037
No Market Index,12,3.64695,2.895603,5.021046,0.533133,0.285714
No Return Features,11,6.860091,6.187152,10.607735,0.521084,0.0
Only Price Features,5,5.733984,4.38767,7.420885,0.521084,0.176166
