实验名称,特征数量,RMSE,MAE,MAPE,Accuracy,F1-score
Full Features,14,0.275088,0.211455,1.955136,0.563253,0.487633
No Technical Indicators,9,0.418788,0.355428,3.256796,0.533133,0.153005
No Market Index,12,0.315562,0.267381,2.471577,0.53012,0.170213
No Return Features,11,0.338514,0.269005,2.481007,0.557229,0.309859
Only Price Features,5,0.272391,0.215869,2.003848,0.563253,0.559271
