实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,0.402483,0.327508,3.190536,0.869704
No Technical Indicators,9,0.669474,0.573447,5.548029,0.639499
No Market Index,12,0.239148,0.173872,1.687047,0.953999
No Return Features,11,0.662876,0.572799,5.586952,0.64657
Only Price Features,5,0.360892,0.2495,2.375187,0.89524
