模型,RMSE,MAE,MAPE,R²
ARIMA,2.421721,2.241164,12.484245,-4.306072
DNN,0.283132,0.224327,1.211565,0.927472
CNN,0.625596,0.537512,2.9816,0.645911
Vanilla LSTM,0.202863,0.151107,0.819089,0.962767
