模型,RMSE,MAE,MAPE,R²
ARIMA,2.421721,2.241164,12.484245,-4.306072
DNN,0.270545,0.213868,1.17622,0.933778
CNN,0.638556,0.556684,3.075309,0.631088
Vanilla LSTM,0.23071,0.183348,1.002734,0.951843
