模型,RMSE,MAE,MAPE,R²
ARIMA,2.421721,2.241164,12.484245,-4.306072
DNN,0.248598,0.187546,1.017586,0.944086
CNN,0.452509,0.393184,2.160364,0.814741
Vanilla LSTM,0.250347,0.203372,1.114756,0.943297
