模型,实验名称,特征数量,RMSE,MAE,MAPE,R²
Vanilla LSTM,Full Features,14,0.250347,0.203372,1.114756,0.943297
Vanilla LSTM,No Technical Indicators,9,0.240345,0.19166,1.051751,0.947737
Vanilla LSTM,No Market Index,12,0.190807,0.137867,0.74559,0.967061
DNN,No Market Index,12,0.249168,0.189944,1.022479,0.943829
Vanilla LSTM,No Return Features,11,0.229938,0.17874,0.970988,0.952165
Vanilla LSTM,Only Price Features,5,0.20803,0.145474,0.789488,0.960846
