模型,RMSE,MAE,MAPE,Accuracy,F1-score,总收益率,最大回撤,夏普比率,交易轮数
ARIMA,0.538538,0.461389,4.356896,0.551205,0.678186,0.041697,-0.099065,0.166007,12
DNN,0.319931,0.254347,2.37661,0.512048,0.547486,-7.4e-05,-0.106965,-0.000348,11
CNN,0.28529,0.237538,2.19985,0.521084,0.52819,-0.027751,-0.103505,-0.173614,14
Vanilla LSTM,0.187606,0.136251,1.268476,0.51506,0.588235,-0.015401,-0.09131,-0.105733,16
Attention-LSTM,0.296304,0.23469,2.176002,0.545181,0.248756,0.013893,-0.032645,0.289006,4
