实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,0.164609,0.111291,2.070677,0.926766
No Technical Indicators,9,0.190204,0.130439,2.395012,0.902221
No Market Index,12,0.1811,0.126918,2.349759,0.911357
No Return Features,11,0.266662,0.202381,3.749096,0.807812
Only Price Features,5,0.244048,0.172493,3.163401,0.839026
