模型,实验名称,特征数量,RMSE,MAE,MAPE,R²
Vanilla LSTM,Full Features,14,0.479976,0.409509,1.932984,0.92267
Vanilla LSTM,No Technical Indicators,9,0.366056,0.298267,1.412352,0.955022
Vanilla LSTM,No Market Index,12,0.316103,0.243202,1.142358,0.96646
ARIMA,No Market Index,1,3.311345,2.826896,12.932546,-2.680589
DNN,No Market Index,12,0.741211,0.6631,3.107005,0.815587
CNN,No Market Index,12,1.828283,1.680557,7.842098,-0.122007
Vanilla LSTM,No Return Features,11,0.641227,0.575605,2.7332,0.861983
Vanilla LSTM,Only Price Features,5,0.343359,0.267698,1.264344,0.960426
