模型,实验名称,特征数量,RMSE,MAE,MAPE,R²
Vanilla LSTM,Full Features,14,0.168301,0.120217,1.111453,0.9052
Vanilla LSTM,No Technical Indicators,9,0.340932,0.294747,2.761732,0.610978
Vanilla LSTM,No Market Index,12,0.146141,0.103378,0.956977,0.92852
ARIMA,No Market Index,1,1.745786,1.658005,15.609326,-9.200465
DNN,No Market Index,12,0.223413,0.168622,1.564003,0.832947
CNN,No Market Index,12,0.218394,0.159831,1.48357,0.840368
Vanilla LSTM,No Return Features,11,0.321655,0.276747,2.588907,0.653726
Vanilla LSTM,Only Price Features,5,0.154629,0.106742,0.987915,0.919976
