模型,实验名称,特征数量,RMSE,MAE,MAPE,R²
Vanilla LSTM,Full Features,14,0.217094,0.170785,3.173277,0.87262
Vanilla LSTM,No Technical Indicators,9,0.182502,0.123877,2.283147,0.90998
Vanilla LSTM,No Market Index,12,0.165582,0.111798,2.073162,0.925898
ARIMA,No Market Index,1,0.814742,0.646799,11.407578,-0.794094
DNN,No Market Index,12,0.632637,0.587872,10.879485,-0.081721
CNN,No Market Index,12,0.506227,0.453472,8.422813,0.307377
Vanilla LSTM,No Return Features,11,0.227112,0.161588,2.982822,0.860592
Vanilla LSTM,Only Price Features,5,0.236873,0.164177,3.011489,0.848352
