模型,RMSE,MAE,MAPE,Accuracy,F1-score,总收益率,最大回撤,夏普比率,交易轮数
ARIMA,1.367342,1.296413,17.352749,0.518072,0.0,0.0,0.0,0.0,0
DNN,0.579195,0.53576,7.210302,0.521084,0.012422,0.0,0.0,0.0,0
CNN,0.448391,0.393091,5.276558,0.51506,0.069364,0.011913,-0.032317,0.256678,2
Vanilla LSTM,0.384275,0.343224,4.556104,0.518072,0.0,0.0,0.0,0.0,0
Attention-LSTM,0.702904,0.656637,8.792959,0.521084,0.012422,0.0,0.0,0.0,0
