模型,RMSE,MAE,MAPE,Accuracy,F1-score,总收益率,最大回撤,夏普比率,交易轮数
ARIMA,2.754928,2.683245,14.262635,0.478916,0.647658,-0.089823,-0.174829,-0.350024,0
DNN,0.450391,0.370886,1.970258,0.51506,0.636569,-0.023487,-0.111915,-0.158473,22
CNN,2.406801,2.249302,11.908096,0.521084,0.0,0.0,0.0,0.0,0
Vanilla LSTM,0.521471,0.43707,2.316663,0.536145,0.189474,0.0,0.0,0.0,0
Attention-LSTM,0.480321,0.365496,1.934443,0.53012,0.546512,-0.005836,-0.120123,-0.047566,13
