模型,RMSE,MAE,MAPE,R²
ARIMA,36.712901,30.110243,10.553967,-0.710986
DNN,14.077072,10.116952,3.653791,0.748445
CNN,27.822288,22.989324,8.496399,0.017359
Vanilla LSTM,11.982462,9.526359,3.417452,0.817736
