模型,RMSE,MAE,MAPE,R²
ARIMA,0.315545,0.26469,5.258357,-2.054291
DNN,0.277369,0.240219,4.594788,-1.359961
CNN,0.334864,0.267062,5.23167,-2.43973
Vanilla LSTM,0.418579,0.360721,6.980555,-4.374567
