模型,实验名称,特征数量,RMSE,MAE,MAPE,R²
Vanilla LSTM,Full Features,14,0.446521,0.357448,1.195481,0.866588
Vanilla LSTM,No Technical Indicators,9,0.750525,0.667828,2.244945,0.623088
Vanilla LSTM,No Market Index,12,0.373039,0.276276,0.920404,0.906885
ARIMA,No Market Index,1,4.564779,4.41705,14.95232,-12.942801
DNN,No Market Index,12,0.958593,0.793102,2.620674,0.385136
CNN,No Market Index,12,0.799982,0.660392,2.213637,0.571776
Vanilla LSTM,No Return Features,11,0.443526,0.345485,1.151937,0.868372
Vanilla LSTM,Only Price Features,5,0.441141,0.320875,1.068533,0.869784
