模型,RMSE,MAE,MAPE,R²
ARIMA,1.397202,1.269259,13.021218,-0.570205
DNN,0.877328,0.66578,6.150471,0.380899
CNN,1.810048,1.533225,14.292005,-1.63523
Vanilla LSTM,0.564048,0.486715,4.75231,0.7441
