实验名称,特征数量,RMSE,MAE,MAPE,Accuracy,F1-score
Full Features,14,0.737039,0.582929,5.401098,0.518072,0.316239
No Technical Indicators,9,1.404851,1.259157,11.65889,0.521084,0.036364
No Market Index,12,0.62758,0.556472,5.23152,0.506024,0.656904
No Return Features,11,0.551351,0.439181,4.056465,0.542169,0.254902
Only Price Features,5,0.62207,0.562428,5.188025,0.527108,0.05988
