模型,RMSE,MAE,MAPE,R²
ARIMA,1.745786,1.658005,15.609326,-9.200465
DNN,0.185964,0.136136,1.263583,0.884257
CNN,0.208557,0.156997,1.446664,0.854424
Vanilla LSTM,0.168301,0.120217,1.111453,0.9052
