模型,RMSE,MAE,MAPE,Accuracy,F1-score,总收益率,最大回撤,夏普比率,交易轮数
ARIMA,0.384907,0.308112,8.005303,0.521084,0.293333,-0.034897,-0.080312,-0.385071,2
DNN,0.188105,0.15736,4.122643,0.587349,0.092715,0.003805,-0.00389,0.346738,1
CNN,0.264737,0.231664,6.180052,0.545181,0.551929,-0.043348,-0.2776,-0.210327,3
Vanilla LSTM,0.051337,0.039139,1.052378,0.548193,0.305556,0.022838,-0.033142,0.459858,10
Attention-LSTM,0.113241,0.096382,2.654794,0.578313,0.339623,-0.106063,-0.170668,-1.167694,8
