模型,RMSE,MAE,MAPE,Accuracy,F1-score,总收益率,最大回撤,夏普比率,交易轮数
ARIMA,1.301207,1.240925,11.702453,0.496988,0.659878,-0.069822,-0.188185,-0.215451,2
DNN,0.935614,0.806255,7.39664,0.53012,0.16129,0.023135,-0.008908,1.049199,3
CNN,1.164941,0.962142,8.919378,0.53012,0.071429,0.039009,-0.001,1.27813,2
Vanilla LSTM,1.275132,1.187283,11.029272,0.512048,0.0,0.0,0.0,0.0,0
Attention-LSTM,1.726873,1.554241,14.421144,0.51506,0.01227,0.0,0.0,0.0,0
