模型,RMSE,MAE,MAPE,Accuracy,F1-score,总收益率,最大回撤,夏普比率,交易轮数
ARIMA,2.14203,2.070812,24.430462,0.451515,0.622129,-0.183129,-0.295664,-0.589397,0
DNN,0.265003,0.229549,2.637407,0.542424,0.351931,0.143989,-0.074021,0.926927,6
CNN,0.440998,0.350531,4.217106,0.509091,0.626728,-0.093752,-0.206287,-0.374575,23
Vanilla LSTM,0.147394,0.113663,1.314065,0.551515,0.393443,0.0829,-0.017558,1.441857,8
Attention-LSTM,0.318821,0.253526,2.922401,0.530303,0.48505,0.024033,-0.180426,0.128417,17
