模型,实验名称,特征数量,RMSE,MAE,MAPE,R²
Vanilla LSTM,Full Features,14,0.217094,0.170785,3.173277,0.87262
Vanilla LSTM,No Technical Indicators,9,0.182502,0.123877,2.283147,0.90998
Vanilla LSTM,No Market Index,12,0.165582,0.111798,2.073162,0.925898
DNN,No Market Index,12,0.632637,0.587872,10.879485,-0.081721
Vanilla LSTM,No Return Features,11,0.332757,0.266994,4.947768,0.700733
Vanilla LSTM,Only Price Features,5,0.249853,0.172116,3.151313,0.831277
