模型,RMSE,MAE,MAPE,R²
ARIMA,0.726635,0.603169,5.604272,-0.634667
DNN,1.194001,0.980399,9.113631,-3.413732
CNN,0.241017,0.18324,1.657226,0.820158
Vanilla LSTM,0.31757,0.257815,2.36449,0.68777
