实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,0.295697,0.244655,1.349827,0.920892
No Technical Indicators,9,0.193986,0.141673,0.769767,0.965954
No Market Index,12,0.199112,0.147646,0.799988,0.964131
No Return Features,11,0.238322,0.190047,1.036702,0.948613
Only Price Features,5,0.204421,0.142603,0.77313,0.962193
