模型,RMSE,MAE,MAPE,R²
ARIMA,4.564779,4.41705,14.95232,-12.942801
DNN,0.68129,0.586523,1.958869,0.689419
CNN,0.657564,0.542856,1.825934,0.710675
Vanilla LSTM,0.446521,0.357448,1.195481,0.866588
