实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,0.145912,0.10495,1.434772,0.918464
No Technical Indicators,9,0.139823,0.108223,1.456112,0.925127
No Market Index,12,0.202898,0.173921,2.33848,0.842338
No Return Features,11,0.139161,0.105391,1.428119,0.925834
Only Price Features,5,0.193882,0.138675,1.909793,0.856038
