实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,1.956887,1.376022,3.589748,0.935414
No Technical Indicators,9,1.949835,1.350002,3.51636,0.935878
No Market Index,12,1.824438,1.416928,3.977458,0.94386
No Return Features,11,1.586229,1.080993,2.905545,0.957563
Only Price Features,5,1.450339,1.059519,3.089578,0.964523
