模型,RMSE,MAE,MAPE,R²
ARIMA,0.574328,0.466521,6.168955,-0.263252
DNN,0.524246,0.479752,6.414,-0.052543
CNN,0.366054,0.316603,4.239184,0.486831
Vanilla LSTM,0.128725,0.093268,1.274961,0.93654
