模型,RMSE,MAE,MAPE,Accuracy,F1-score,总收益率,最大回撤,夏普比率,交易轮数
ARIMA,0.563126,0.39964,8.825199,0.557229,0.140351,0.002483,-0.022594,0.057094,5
DNN,0.159739,0.11793,2.714309,0.496988,0.350195,-0.197443,-0.254245,-1.478998,6
CNN,0.257646,0.168875,3.716646,0.524096,0.294643,0.068817,-0.026805,0.963924,15
Vanilla LSTM,0.080098,0.057525,1.341182,0.503012,0.412811,-0.071558,-0.161356,-0.784236,17
Attention-LSTM,0.1804,0.136284,3.131768,0.506024,0.359375,-0.145809,-0.260629,-1.172591,11
