模型,实验名称,特征数量,RMSE,MAE,MAPE,R²
Vanilla LSTM,Full Features,14,0.476623,0.364063,1.793558,0.884772
Vanilla LSTM,No Technical Indicators,9,0.405201,0.285226,1.389765,0.916718
Vanilla LSTM,No Market Index,12,0.482133,0.359582,1.74515,0.882092
DNN,No Market Index,12,0.62369,0.453551,2.196127,0.802691
Vanilla LSTM,No Return Features,11,0.432101,0.317298,1.546528,0.905294
Vanilla LSTM,Only Price Features,5,0.660404,0.478377,2.333361,0.778778
