模型,实验名称,特征数量,RMSE,MAE,MAPE,R²
Vanilla LSTM,Full Features,14,0.446521,0.357448,1.195481,0.866588
Vanilla LSTM,No Technical Indicators,9,0.750525,0.667828,2.244945,0.623088
Vanilla LSTM,No Market Index,12,0.373039,0.276276,0.920404,0.906885
DNN,No Market Index,12,0.958593,0.793102,2.620674,0.385136
Vanilla LSTM,No Return Features,11,0.996165,0.874584,2.954391,0.335993
Vanilla LSTM,Only Price Features,5,0.463376,0.335048,1.115311,0.856326
