实验名称,特征数量,RMSE,MAE,MAPE,Accuracy,F1-score
Full Features,14,0.182085,0.133609,3.072311,0.466867,0.44164
No Technical Indicators,9,0.185943,0.135076,3.089652,0.48494,0.420339
No Market Index,12,0.168415,0.117022,2.669674,0.463855,0.355072
No Return Features,11,0.181298,0.140623,3.279673,0.418675,0.488064
Only Price Features,5,0.216603,0.14241,3.219839,0.493976,0.377778
