模型,RMSE,MAE,MAPE,R²
ARIMA,8.095409,7.119165,20.64266,-0.105319
DNN,1.687855,1.13692,3.25306,0.951951
CNN,2.492071,1.83133,5.225178,0.895256
Vanilla LSTM,1.505929,1.00502,2.696005,0.961751
