模型,RMSE,MAE,MAPE,R²
ARIMA,18.607913,15.738522,14.163467,-0.29533
DNN,6.418105,5.28338,4.938771,0.845901
CNN,6.484602,5.068123,4.672693,0.842692
Vanilla LSTM,3.947095,2.769469,2.453772,0.941717
