模型,实验名称,特征数量,RMSE,MAE,MAPE,R²
Vanilla LSTM,Full Features,14,3.947095,2.769469,2.453772,0.941717
Vanilla LSTM,No Technical Indicators,9,6.461273,5.267146,4.708618,0.843821
Vanilla LSTM,No Market Index,12,4.20483,3.214789,2.935373,0.933857
DNN,No Market Index,12,8.216492,7.229769,6.766143,0.747444
Vanilla LSTM,No Return Features,11,5.310045,4.051924,3.616896,0.894517
Vanilla LSTM,Only Price Features,5,5.610257,4.476574,4.03256,0.882253
