实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,10.797746,7.431639,2.67308,0.851995
No Technical Indicators,9,9.035859,6.568488,2.466379,0.896355
No Market Index,12,9.589266,6.954716,2.608621,0.883271
No Return Features,11,9.489627,7.016835,2.659041,0.885684
Only Price Features,5,9.821702,6.987221,2.611614,0.877543
