实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,0.159624,0.131872,1.779012,0.902418
No Technical Indicators,9,0.123411,0.092915,1.253822,0.941672
No Market Index,12,0.442311,0.41115,5.512345,0.250751
No Return Features,11,0.149002,0.113974,1.527405,0.914973
Only Price Features,5,0.167341,0.119527,1.639411,0.892755
