模型,实验名称,特征数量,RMSE,MAE,MAPE,R²
Vanilla LSTM,Full Features,14,0.128725,0.093268,1.274961,0.93654
Vanilla LSTM,No Technical Indicators,9,0.141032,0.109228,1.466033,0.923826
Vanilla LSTM,No Market Index,12,0.127861,0.091823,1.251179,0.93739
DNN,No Market Index,12,0.270512,0.216865,2.871233,0.719752
Vanilla LSTM,No Return Features,11,0.135587,0.096837,1.31923,0.929595
Vanilla LSTM,Only Price Features,5,0.18367,0.131715,1.810209,0.870805
