模型,RMSE,MAE,MAPE,R²
ARIMA,0.814742,0.646799,11.407578,-0.794094
DNN,0.320037,0.238259,4.553653,0.723174
CNN,0.279083,0.211214,3.971274,0.78949
Vanilla LSTM,0.217094,0.170785,3.173277,0.87262
