实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,0.146884,0.107628,1.477672,0.917374
No Technical Indicators,9,0.143589,0.113665,1.529121,0.921039
No Market Index,12,0.147372,0.103117,1.401538,0.916823
No Return Features,11,0.132748,0.09586,1.298566,0.932512
Only Price Features,5,0.182063,0.129619,1.782485,0.873055
