模型,RMSE,MAE,MAPE,R²
ARIMA,0.574328,0.466521,6.168955,-0.263252
DNN,0.486039,0.443253,5.93417,0.095285
CNN,0.406806,0.351407,4.678581,0.366211
Vanilla LSTM,0.155236,0.125048,1.669745,0.90771
