模型,RMSE,MAE,MAPE,R²
ARIMA,2.421721,2.241164,12.484245,-4.306072
DNN,0.28312,0.2172,1.17098,0.927479
CNN,0.465107,0.401783,2.205262,0.804282
Vanilla LSTM,0.218042,0.16888,0.920345,0.956986
