实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,11.165191,8.511592,3.087963,0.841751
No Technical Indicators,9,10.059867,7.628338,2.781066,0.871532
No Market Index,12,9.311221,6.945229,2.56853,0.889942
No Return Features,11,8.932079,6.594916,2.449702,0.898722
Only Price Features,5,10.353844,7.402612,2.758654,0.863914
