模型,实验名称,特征数量,RMSE,MAE,MAPE,R²
Vanilla LSTM,Full Features,14,0.128725,0.093268,1.274961,0.93654
Vanilla LSTM,No Technical Indicators,9,0.141032,0.109228,1.466033,0.923826
Vanilla LSTM,No Market Index,12,0.127861,0.091823,1.251179,0.93739
ARIMA,No Market Index,1,0.574328,0.466521,6.168955,-0.263252
DNN,No Market Index,12,0.270512,0.216865,2.871233,0.719752
CNN,No Market Index,12,0.378328,0.317433,4.222458,0.451841
Vanilla LSTM,No Return Features,11,0.134742,0.096632,1.3096,0.930469
Vanilla LSTM,Only Price Features,5,0.153871,0.108886,1.490774,0.909325
