实验名称,特征数量,RMSE,MAE,MAPE,Accuracy,F1-score
Full Features,14,0.097557,0.071124,1.921519,0.572289,0.52349
No Technical Indicators,9,0.117816,0.099753,2.720065,0.566265,0.33945
No Market Index,12,0.175709,0.142984,3.749358,0.584337,0.103896
No Return Features,11,0.12653,0.107293,2.987574,0.569277,0.322275
Only Price Features,5,0.15777,0.122388,3.187727,0.521084,0.260465
