模型,RMSE,MAE,MAPE,R²
ARIMA,0.814742,0.646799,11.407578,-0.794094
DNN,0.546989,0.452184,8.097909,0.191346
CNN,0.569185,0.44954,7.990694,0.124387
Vanilla LSTM,0.204827,0.16025,2.954705,0.886609
