实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,0.251961,0.204169,1.120452,0.942563
No Technical Indicators,9,0.190738,0.139243,0.755351,0.967085
No Market Index,12,0.207974,0.158216,0.859033,0.960867
No Return Features,11,0.266114,0.217523,1.193509,0.935929
Only Price Features,5,0.202892,0.141621,0.76784,0.962756
