模型,实验名称,特征数量,RMSE,MAE,MAPE,R²
Vanilla LSTM,Full Features,14,0.418579,0.360721,6.980555,-4.374567
Vanilla LSTM,No Technical Indicators,9,0.30852,0.256375,4.943805,-1.91982
Vanilla LSTM,No Market Index,12,0.111581,0.086294,1.677541,0.61808
DNN,No Market Index,12,0.165586,0.129798,2.516457,0.158925
Vanilla LSTM,No Return Features,11,0.178588,0.141756,2.731551,0.021648
Vanilla LSTM,Only Price Features,5,0.189154,0.169514,3.282329,-0.09754
