实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,0.268731,0.222783,1.223493,0.934663
No Technical Indicators,9,0.203066,0.151515,0.825467,0.962692
No Market Index,12,0.21283,0.162759,0.884611,0.959018
No Return Features,11,0.220082,0.168639,0.916264,0.956178
Only Price Features,5,0.200689,0.139244,0.755733,0.963561
