模型,RMSE,MAE,MAPE,Accuracy,F1-score,总收益率,最大回撤,夏普比率,交易轮数
ARIMA,0.814742,0.646799,11.407578,0.572289,0.393162,0.158468,-0.106805,0.734435,7
DNN,0.371258,0.298458,5.774855,0.51506,0.639821,0.181874,-0.257431,0.409123,15
CNN,0.371525,0.263881,4.896663,0.539157,0.55132,-0.148171,-0.231005,-0.460796,20
Vanilla LSTM,0.166586,0.118314,2.19086,0.51506,0.392453,-0.027853,-0.118265,-0.219863,9
Attention-LSTM,0.380248,0.284019,5.306243,0.524096,0.561111,-0.168005,-0.242125,-0.488033,19
