模型,实验名称,特征数量,RMSE,MAE,MAPE,R²
Vanilla LSTM,Full Features,14,0.250347,0.203372,1.114756,0.943297
Vanilla LSTM,No Technical Indicators,9,0.240345,0.19166,1.051751,0.947737
Vanilla LSTM,No Market Index,12,0.190807,0.137867,0.74559,0.967061
ARIMA,No Market Index,1,2.421721,2.241164,12.484245,-4.306072
DNN,No Market Index,12,0.249168,0.189944,1.022479,0.943829
CNN,No Market Index,12,0.348368,0.283481,1.550571,0.8902
Vanilla LSTM,No Return Features,11,0.240207,0.190569,1.039711,0.947797
Vanilla LSTM,Only Price Features,5,0.205151,0.14413,0.782177,0.961922
