实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,0.635932,0.572313,5.708556,0.674718
No Technical Indicators,9,0.523321,0.435782,4.214566,0.779721
No Market Index,12,0.247624,0.178482,1.735489,0.95068
No Return Features,11,0.975054,0.899365,8.859546,0.235292
Only Price Features,5,0.336153,0.234562,2.23903,0.909111
