模型,RMSE,MAE,MAPE,Accuracy,F1-score,总收益率,最大回撤,夏普比率,交易轮数
ARIMA,11.221457,9.301645,15.447995,0.509036,0.269058,0.132528,-0.087647,0.905032,3
DNN,4.731276,3.97182,6.684026,0.524096,0.11236,0.067931,-0.011517,1.074957,3
CNN,8.829228,7.798559,13.525861,0.521084,0.0,0.0,0.0,0.0,0
Vanilla LSTM,5.321285,4.871659,8.444294,0.521084,0.0,0.0,0.0,0.0,0
Attention-LSTM,7.532226,6.726644,11.672806,0.51506,0.0,0.0,0.0,0.0,0
