实验名称,特征数量,RMSE,MAE,MAPE,Accuracy,F1-score
Full Features,14,0.295863,0.234258,2.674868,0.539394,0.457143
No Technical Indicators,9,0.265327,0.203831,2.341237,0.560606,0.527687
No Market Index,12,0.321715,0.252552,2.960904,0.521212,0.592784
No Return Features,11,0.32783,0.259753,3.01693,0.545455,0.53125
Only Price Features,5,0.361042,0.289196,3.41348,0.524242,0.621687
