模型,RMSE,MAE,MAPE,R²
ARIMA,0.574328,0.466521,6.168955,-0.263252
DNN,0.407506,0.354758,4.850977,0.364028
CNN,0.345134,0.29716,4.085002,0.54381
Vanilla LSTM,0.114943,0.084085,1.138069,0.949402
