模型,RMSE,MAE,MAPE,R²
ARIMA,0.574328,0.466521,6.168955,-0.263252
DNN,0.438903,0.386021,5.123951,0.262254
CNN,0.306955,0.250778,3.411269,0.639156
Vanilla LSTM,0.1196,0.086424,1.178562,0.945219
