模型,RMSE,MAE,MAPE,R²
ARIMA,0.574328,0.466521,6.168955,-0.263252
DNN,0.511025,0.471707,6.32675,-0.000125
CNN,0.398068,0.340398,4.61322,0.393144
Vanilla LSTM,0.142179,0.110411,1.483428,0.922582
