实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,0.148371,0.109935,1.508355,0.915692
No Technical Indicators,9,0.149372,0.115999,1.56227,0.91455
No Market Index,12,0.220952,0.189139,2.520202,0.813032
No Return Features,11,0.142507,0.101609,1.382844,0.922225
Only Price Features,5,0.152256,0.108332,1.47589,0.911219
