实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,0.176685,0.122946,2.284256,0.915626
No Technical Indicators,9,0.176492,0.121797,2.246315,0.915811
No Market Index,12,0.175459,0.120288,2.235575,0.916793
No Return Features,11,0.205211,0.142105,2.619251,0.886183
Only Price Features,5,0.24252,0.169676,3.110533,0.841036
