实验名称,特征数量,RMSE,MAE,MAPE,Accuracy,F1-score
Full Features,14,0.435075,0.328091,6.158663,0.48494,0.564885
No Technical Indicators,9,0.523121,0.433739,7.985508,0.512048,0.138298
No Market Index,12,0.374826,0.273609,5.034893,0.48494,0.369004
No Return Features,11,0.426818,0.325646,6.15789,0.509036,0.576623
Only Price Features,5,0.429861,0.307355,5.708308,0.524096,0.551136
